Month,Steps
2017-08-01,10763
2017-09-01,258460
2017-10-01,307568
2017-11-01,263584
2017-12-01,358576
2018-01-01,325710
2018-02-01,320570
2018-03-01,448827
2018-04-01,396887
2018-05-01,404084
2018-06-01,416085
2018-07-01,412775
2018-08-01,364885
2018-09-01,390013
2018-10-01,408911
2018-11-01,359095
2018-12-01,274289
2019-01-01,300143
2019-02-01,247873
2019-03-01,259948
2019-04-01,403807
2019-05-01,325898
2019-06-01,439205
2019-07-01,139346
2019-08-01,442096
2019-09-01,226953
2019-10-01,392273
2019-11-01,266318
2019-12-01,231248
2020-01-01,169676
